item,item_gr
Artisan Grilled Chicken Sandwich, Άρτιζαν Ψητό Σάντουιτς Κοτόπουλο
Single Bacon Smokehouse Burger, Μπέργκερ Σμόκχαουζ Μπέικον Μονό
Double Bacon Smokehouse Burger, Διπλό Μπέργκερ Σμόκχαουζ Μπέικον
Grilled Bacon Smokehouse Chicken Sandwich, Ψητό Σάντουιτς Κοτόπουλο με Μπέικον Σμόκχαουζ
Crispy Bacon Smokehouse Chicken Sandwich, Τραγανό Σάντουιτς Κοτόπουλο με Μπέικον Σμόκχαουζ
Big Mac, Μπιγκ Μακ
Cheeseburger, Τσίζμπεργκερ
Classic Chicken Sandwich, Κλασικό Σάντουιτς Κοτόπουλο
Double Cheeseburger, Διπλό Τσίζμπεργκερ
Double Quarter Pounder with Cheese, Διπλό Κουόρτερ Πάουντερ με Τυρί
Filet-O-Fish, Φιλέτο Ψαριού
Garlic White Cheddar Burger, Μπέργκερ με Λευκό Τσένταρ και Σκόρδο
Grilled Garlic White Cheddar Chicken Sandwich, Ψητό Σάντουιτς Κοτόπουλο με Λευκό Τσένταρ και Σκόρδο
Crispy Garlic White Cheddar Chicken Sandwich, Τραγανό Σάντουιτς Κοτόπουλο με Λευκό Τσένταρ και Σκόρδο
Hamburger, Χάμπουργκερ
Lobster Roll, Ρολό Αστακού
Maple Bacon Dijon 1/4 lb Burger, Μπέργκερ 1/4 lb με Μπέικον και Μουστάρδα Ντιζόν
Grilled Maple Bacon Dijon Chicken Sandwich, Ψητό Σάντουιτς Κοτόπουλο με Μπέικον και Μουστάρδα Ντιζόν
Crispy Maple Bacon Dijon Chicken Sandwich, Τραγανό Σάντουιτς Κοτόπουλο με Μπέικον και Μουστάρδα Ντιζόν
McChicken, Μακ Κοτόπουλο
McDouble, Μακ Διπλό
McRib, Μακ Ριμπ
Pico Guacamole 1/4 lb Burger, Μπέργκερ Pico Guacamole 1/4 lb
Grilled Pico Guacamole Chicken Sandwich, Ψητό Σάντουιτς Κοτόπουλο με Pico Guacamole
Crispy Pico Guacamole Chicken Sandwich, Τραγανό Σάντουιτς Κοτόπουλο με Pico Guacamole
Premium Buttermilk Crispy Chicken Deluxe Sandwich, Πριμ Σάντουιτς Τραγανό Κοτόπουλο με Βουτυρόγαλα Ντελούξ
Premium Crispy Chicken Deluxe Sandwich, Πριμ Σάντουιτς Τραγανό Κοτόπουλο Ντελούξ
Quarter Pounder with Cheese, Κουόρτερ Πάουντερ με Τυρί
Signature Sriracha Burger, Μπέργκερ Σριράτσα Υπογραφή
Grilled Signature Sriracha Chicken Sandwich, Ψητό Σάντουιτς Κοτόπουλο με Σριράτσα Υπογραφή
Crispy Signature Sriracha Chicken Sandwich, Τραγανό Σάντουιτς Κοτόπουλο με Σριράτσα Υπογραφή
Sweet BBQ Bacon 1/4 lb Burger, Μπέργκερ 1/4 lb με Μπέικον και Γλυκιά BBQ
Grilled Sweet BBQ Bacon Chicken Sandwich, Ψητό Σάντουιτς Κοτόπουλο με Μπέικον και Γλυκιά BBQ
Crispy Sweet BBQ Bacon Chicken Sandwich, Τραγανό Σάντουιτς Κοτόπουλο με Μπέικον και Γλυκιά BBQ
3 piece Buttermilk Crispy Chicken Tenders, 3 Κομμάτια Τραγανά Κοτόπουλο Τέντερς με Βουτυρόγαλα
4 piece Buttermilk Crispy Chicken Tenders, 4 Κομμάτια Τραγανά Κοτόπουλο Τέντερς με Βουτυρόγαλα
6 piece Buttermilk Crispy Chicken Tenders, 6 Κομμάτια Τραγανά Κοτόπουλο Τέντερς με Βουτυρόγαλα
10 piece Buttermilk Crispy Chicken Tenders, 10 Κομμάτια Τραγανά Κοτόπουλο Τέντερς με Βουτυρόγαλα
12 piece Buttermilk Crispy Chicken Tenders, 12 Κομμάτια Τραγανά Κοτόπουλο Τέντερς με Βουτυρόγαλα
20 piece Buttermilk Crispy Chicken Tenders, 20 Κομμάτια Τραγανά Κοτόπουλο Τέντερς με Βουτυρόγαλα
